"","freq","word","length"
"1",18,"lagrangian",10
"2",26,"consumer’s",10
"3",137,"problem",7
"4",91,"price",5
"5",31,"equals",6
"6",8,"kuhntucker",10
"7",27,"optimality",10
"8",75,"constraints",11
"9",119,"shown",5
"10",90,"solve",5
"11",511,"will",4
"12",99,"need",4
"13",72,"consider",8
"14",21,"cases",5
"15",54,"consumer",8
"16",4,"buys",4
"17",147,"case",4
"18",78,"must",4
"19",118,"equal",5
"20",57,"zero",4
"21",48,"simplify",8
"22",210,"since",5
"23",79,"implies",7
"24",37,"solving",7
"25",38,"budget",6
"26",84,"constraint",10
"27",28,"conclude",8
"28",12,"whenever",8
"29",11,"ppmc",4
"30",102,"group",5
"31",12,"members",7
"32",7,"devika",6
"33",8,"zach",4
"34",3,"simoni",6
"35",1,"mythili",7
"36",8,"animesh",7
"37",33,"december",8
"38",106,"exercise",8
"39",1,"allocating",10
"40",1,"consumptions",12
"41",15,"goods",5
"42",9,"across",6
"43",38,"consumers",9
"44",4,"called",6
"45",7,"tillip",6
"46",6,"quillip",7
"47",136,"utility",7
"48",188,"function",8
"49",10,"logt",4
"50",10,"logq",4
"51",18,"amount",6
"52",7,"consumes",8
"53",42,"social",6
"54",19,"endowment",9
"55",3,"consists",8
"56",20,"units",5
"57",81,"suppose",7
"58",4,"relative",8
"59",2,"representations",15
"60",47,"preferences",11
"61",4,"allo",4
"62",1,"cations",7
"63",12,"represented",11
"64",29,"welfare",7
"65",6,"functional",10
"66",101,"following",9
"67",39,"form",4
"68",11,"weighted",8
"69",29,"weight",6
"70",6,"lesser",6
"71",63,"greater",7
"72",85,"optimal",7
"73",2,"cation",6
"74",3,"depends",7
"75",1,"initial",7
"76",12,"endowments",10
"77",18,"examine",7
"78",226,"find",4
"79",40,"allocation",10
"80",99,"know",4
"81",37,"functions",9
"82",12,"undefined",9
"83",66,"also",4
"84",11,"locally",7
"85",10,"nonsatiated",11
"86",5,"monotonically",13
"87",49,"increasing",10
"88",33,"lastly",6
"89",56,"concave",7
"90",20,"focs",4
"91",16,"necessary",9
"92",24,"sufficient",10
"93",16,"system",6
"94",34,"equations",9
"95",42,"pareto",6
"96",17,"allocations",11
"97",13,"economy",7
"98",5,"solutions",9
"99",100,"assume",6
"100",7,"divided",7
"101",5,"sumer",5
"102",3,"getting",7
"103",88,"good",4
"104",12,"walrasian",9
"105",150,"equilibrium",11
"106",171,"first",5
"107",3,"consumers’",10
"108",34,"demand",6
"109",48,"note",4
"110",1,"normalizing",11
"111",27,"prices",6
"112",1,"equlibrium",10
"113",7,"particular",10
"114",11,"policy",6
"115",8,"maker",5
"116",1,"mellow",6
"117",6,"specifically",12
"118",1,"hopes",5
"119",1,"prevent",7
"120",1,"envying",7
"121",3,"defines",7
"122",7,"envyfree",8
"123",9,"rather",6
"124",3,"sumption",8
"125",14,"bundle",6
"126",29,"assigned",8
"127",5,"another",7
"128",1,"wishes",6
"129",32,"efficient",9
"130",1,"lazy",4
"131",1,"isn’t",5
"132",15,"willing",7
"133",24,"figure",6
"134",21,"list",4
"135",1,"blessed",7
"136",14,"well",4
"137",4,"exchange",8
"138",1,"economy—however",15
"139",1,"rearranges",10
"140",1,"finds",5
"141",3,"help",4
"142",9,"describe",8
"143",1,"reallocate",10
"144",3,"endow",5
"145",1,"ments",5
"146",6,"resulting",9
"147",3,"guaranteed",10
"148",10,"hint",4
"149",1,"trick",5
"150",2,"redistribute",12
"151",14,"every",5
"152",8,"begin",5
"153",6,"wealth",6
"154",3,"spend",5
"155",18,"consumption",11
"156",1,"redistributes",13
"157",5,"levels",6
"158",1,"trivially",9
"159",1,"essarily",8
"160",9,"trade",5
"161",2,"equi",4
"162",2,"librium",7
"163",25,"theorem",7
"164",12,"choice",6
"165",33,"least",5
"166",8,"made",4
"167",9,"choices",7
"168",3,"affordable",10
"169",2,"imagine",7
"170",1,"threeconsumer",13
"171",3,"commodity",9
"172",1,"dening",6
"173",3,"services",8
"174",11,"makes",5
"175",1,"one’s",5
"176",2,"yard",4
"177",1,"beautiful",9
"178",39,"second",6
"179",5,"food",4
"180",4,"initially",9
"181",12,"allocated",9
"182",1,"evenly",6
"183",10,"among",5
"184",33,"three",5
"185",2,"sumers",6
"186",5,"corresponding",13
"187",17,"maximize",8
"188",4,"subject",7
"189",36,"individual",10
"190",2,"gardening",9
"191",11,"respectively",12
"192",32,"total",5
"193",4,"important",9
"194",5,"notice",6
"195",22,"identical",9
"196",38,"either",6
"197",43,"positive",8
"198",35,"binding",7
"199",38,"solution",8
"200",74,"order",5
"201",14,"setting",7
"202",22,"derivative",10
"203",25,"respect",7
"204",94,"equation",8
"205",29,"substitute",10
"206",120,"value",5
"207",20,"original",8
"208",47,"words",5
"209",4,"benefits",8
"210",9,"characterize",12
"211",35,"found",5
"212",11,"maximizing",10
"213",6,"weights",7
"214",4,"nonnegative",11
"215",15,"equivalent",10
"216",67,"strictly",8
"217",9,"upon",4
"218",10,"highest",7
"219",4,"gets",4
"220",5,"entire",6
"221",6,"ment",4
"222",5,"equally",7
"223",13,"divide",6
"224",1,"correspond",10
"225",2,"opti",4
"226",10,"look",4
"227",28,"imply",5
"228",43,"true",4
"229",92,"values",6
"230",10,"relationship",12
"231",9,"elements",8
"232",13,"determine",9
"233",4,"locations",9
"234",60,"means",5
"235",2,"half",4
"236",16,"inequality",10
"237",20,"never",5
"238",20,"similar",7
"239",28,"exists",6
"240",31,"similarly",9
"241",65,"part",4
"242",2,"mrs’s",5
"243",13,"ratio",5
"244",2,"shadow",6
"245",20,"make",4
"246",3,"impossible",10
"247",1,"sounds",6
"248",5,"like",4
"249",10,"contradiction",13
"250",28,"take",4
"251",5,"account",7
"252",1,"externalities",13
"253",5,"present",7
"254",33,"example",7
"255",4,"five",4
"256",1,"easy",4
"257",2,"pieces",6
"258",3,"marriage",8
"259",32,"question",8
"260",5,"concerned",9
"261",46,"different",9
"262",45,"women",5
"263",3,"partners",8
"264",8,"opposite",8
"265",6,"acceptable",10
"266",169,"show",4
"267",7,"manproposing",12
"268",11,"benefit",7
"269",2,"lying",5
"270",2,"truthful",8
"271",20,"result",6
"272",16,"receive",7
"273",16,"preferred",9
"274",13,"woman",5
"275",2,"manpessimal",11
"276",68,"want",4
"277",7,"showing",7
"278",23,"scenario",8
"279",7,"tell",4
"280",7,"truth",5
"281",5,"lies",4
"282",13,"propose",7
"283",41,"choose",6
"284",24,"favorite",8
"285",8,"rejected",8
"286",9,"accept",6
"287",24,"stable",6
"288",23,"match",5
"289",17,"neither",7
"290",8,"algorithm",9
"291",3,"terminates",10
"292",15,"round",5
"293",5,"proposing",9
"294",7,"accepting",9
"295",2,"nearly",6
"296",6,"able",4
"297",27,"prove",5
"298",2,"womanproposing",14
"299",1,"select",6
"300",17,"unique",6
"301",16,"denote",6
"302",85,"given",5
"303",1,"manoptimal",10
"304",1,"womanpessimal",13
"305",12,"prefer",6
"306",37,"less",4
"307",3,"womenproposing",14
"308",1,"womanoptimal",12
"309",3,"wlog",4
"310",5,"strict",6
"311",6,"rank",4
"312",2,"whereas",7
"313",2,"men’s",5
"314",1,"bitrary",7
"315",2,"coincides",9
"316",21,"outcome",7
"317",7,"related",7
"318",3,"objectified",11
"319",1,"priorities",10
"320",1,"coincide",8
"321",5,"women’s",7
"322",6,"common",6
"323",2,"ranking",7
"324",29,"follows",7
"325",40,"assuming",8
"326",4,"applying",8
"327",30,"reject",6
"328",1,"others",6
"329",9,"already",7
"330",6,"matched",7
"331",19,"last",4
"332",3,"unacceptable",12
"333",2,"proposed",8
"334",35,"thus",4
"335",83,"number",6
"336",5,"unmatched",9
"337",4,"lets",4
"338",5,"remaining",9
"339",3,"priority",8
"340",4,"hence",5
"341",14,"shows",5
"342",6,"final",5
"343",2,"matches",7
"344",1,"algorithms",10
"345",1,"illustrates",11
"346",8,"small",5
"347",43,"change",6
"348",4,"gender",6
"349",4,"balance",7
"350",1,"lead",4
"351",1,"stark",5
"352",6,"agents’",7
"353",5,"cycle",5
"354",77,"agent",5
"355",1,"ranks",5
"356",19,"agents",6
"357",1,"descending",10
"358",1,"travels",7
"359",2,"starting",8
"360",10,"position",8
"361",1,"instance",8
"362",5,"arbitrary",9
"363",4,"drops",5
"364",1,"thereby",7
"365",2,"causing",7
"366",1,"imbalance",9
"367",1,"corre",5
"368",1,"sponds",6
"369",6,"long",4
"370",49,"side",4
"371",2,"markets",7
"372",3,"short",5
"373",6,"endowed",7
"374",182,"using",5
"375",5,"accepted",8
"376",30,"results",7
"377",7,"available",9
"378",14,"used",4
"379",32,"instead",7
"380",1,"regard",6
"381",20,"give",4
"382",3,"upper",5
"383",7,"bound",5
"384",3,"proposal",8
"385",2,"rounds",6
"386",1,"terminate",9
"387",11,"times",5
"388",2,"upperbound",10
"389",1,"plus",4
"390",1,"ditional",8
"391",23,"recall",6
"392",10,"production",10
"393",2,"studied",7
"394",1,"section",7
"395",1,"discovered",10
"396",1,"hitherto",8
"397",1,"unheard",7
"398",1,"latin",5
"399",2,"american",8
"400",1,"country",7
"401",19,"hulac",5
"402",2,"princeton",9
"403",2,"effective",9
"404",1,"altruists",9
"405",18,"peas",4
"406",1,"capitalist’s",12
"407",7,"measure",7
"408",7,"capital",7
"409",27,"workers",7
"410",1,"quest",5
"411",1,"accomplish",10
"412",2,"good”",5
"413",3,"four",4
"414",3,"scenarios",9
"415",10,"stay",4
"416",9,"away",4
"417",1,"join",4
"418",5,"becomes",7
"419",4,"donate",6
"420",6,"proletariat",11
"421",2,"promise",7
"422",2,"send",4
"423",7,"money",5
"424",15,"work",4
"425",4,"employed",8
"426",3,"farm",4
"427",3,"promised",8
"428",4,"operate",7
"429",13,"unit",4
"430",1,"manner",6
"431",3,"native",6
"432",1,"halac",5
"433",10,"capitalist",10
"434",67,"profit",6
"435",3,"amounts",7
"436",8,"share",5
"437",1,"earned",6
"438",5,"proceed",7
"439",1,"employs",7
"440",3,"exploited",9
"441",39,"wage",4
"442",1,"excess",6
"443",1,"natives",7
"444",27,"indifferent",11
"445",4,"working",7
"446",3,"farming",7
"447",5,"employ",6
"448",1,"hulacs",6
"449",1,"nothing",7
"450",11,"purchase",8
"451",8,"profits",7
"452",1,"operat",6
"453",3,"worker",6
"454",3,"portion",7
"455",9,"addition",8
"456",14,"just",4
"457",7,"enough",6
"458",1,"staying",7
"459",4,"home",4
"460",8,"summarize",9
"461",3,"demanded",8
"462",2,"gamma",5
"463",38,"firm",4
"464",1,"breaks",6
"465",23,"even",4
"466",6,"none",4
"467",11,"define",6
"468",1,"achieving",9
"469",2,"recommend",9
"470",2,"walrasianequilibrium",20
"471",2,"umonotonicity",13
"472",16,"holds",5
"473",5,"core",4
"474",34,"proof",5
"475",11,"contrary",8
"476",2,"coalition",9
"477",31,"individuals",11
"478",3,"feasible",8
"479",3,"member",6
"480",7,"preference",10
"481",7,"revealed",8
"482",1,"px^j",4
"483",35,"time",4
"484",6,"chosen",6
"485",1,"moreover",8
"486",1,"indeed",6
"487",1,"sufficiently",12
"488",14,"though",6
"489",1,"contradicting",13
"490",12,"finally",7
"491",7,"adding",6
"492",4,"inequalities",12
"493",2,"establish",9
"494",4,"proved",6
"495",9,"house",5
"496",2,"houses",6
"497",1,"cationscan",10
"498",16,"think",5
"499",3,"systematic",10
"500",5,"procedure",9
"501",9,"finding",7
"502",9,"step",4
"503",6,"repeat",6
"504",6,"steps",5
"505",2,"beginning",9
"506",2,"ending",6
"507",24,"possible",8
"508",1,"ordering",8
"509",16,"running",7
"510",5,"trading",7
"511",3,"equilib",7
"512",3,"rium",4
"513",4,"central",7
"514",2,"authority",9
"515",1,"cate",4
"516",6,"quasilinear",11
"517",8,"differentiable",14
"518",1,"functionpthe",12
"519",1,"allocates",9
"520",5,"utilities",9
"521",2,"authority’s",11
"522",26,"maximization",12
"523",14,"derive",6
"524",12,"firstorder",10
"525",1,"ditions",7
"526",1,"satiated",8
"527",12,"optimum",7
"528",12,"foc’s",5
"529",10,"optimization",12
"530",18,"equality",8
"531",11,"quantity",8
"532",3,"argue",5
"533",3,"facing",6
"534",8,"aggregate",9
"535",4,"exactly",7
"536",40,"fact",4
"537",13,"inverse",7
"538",2,"x¯xi",4
"539",3,"maximand",8
"540",7,"rearranging",11
"541",14,"lecture",7
"542",6,"considered",10
"543",7,"incidence",9
"544",9,"valorem",7
"545",5,"assumed",7
"546",7,"competitive",11
"547",2,"derived",7
"548",23,"expression",10
"549",16,"market",6
"550",43,"increase",8
"551",11,"showed",6
"552",1,"pretax",6
"553",11,"received",8
"554",5,"producers",9
"555",3,"paid",4
"556",1,"semielasticity",14
"557",21,"start",5
"558",7,"identity",8
"559",1,"sp-t",4
"560",62,"next",4
"561",8,"differentiate",13
"562",13,"sides",5
"563",4,"evaluate",8
"564",1,"multiplying",11
"565",1,"bottom",6
"566",2,"producer",8
"567",1,"pp-d",4
"568",6,"matter",6
"569",2,"percent",7
"570",1,"introduction",12
"571",6,"percentage",10
"572",21,"specific",8
"573",42,"terms",5
"574",27,"compare",7
"575",10,"previous",8
"576",14,"looking",7
"577",7,"absolute",8
"578",16,"firms",5
"579",78,"level",5
"580",5,"needed",6
"581",2,"raise",5
"582",2,"perunit",7
"583",10,"revenue",7
"584",1,"raised",6
"585",8,"supply",6
"586",1,"perunitrevenueequivalent",24
"587",46,"whether",7
"588",3,"supplied",8
"589",8,"monopolist",10
"590",2,"pays",4
"591",44,"write",5
"592",3,"monopolist’s",12
"593",7,"lerner",6
"594",6,"markup",6
"595",7,"formula",7
"596",39,"marginal",8
"597",15,"costs",5
"598",72,"constant",8
"599",6,"elasticity",10
"600",17,"decreasing",10
"601",3,"burden",6
"602",2,"borne",5
"603",2,"taxinclusive",12
"604",2,"actually",8
"605",17,"increases",9
"606",45,"higher",6
"607",15,"introduced",10
"608",1,"markups",7
"609",8,"calculated",10
"610",24,"output",6
"611",23,"cost",4
"612",11,"decreases",9
"613",1,"inelastic",9
"614",17,"class",5
"615",7,"discussed",9
"616",3,"twoinstrument",13
"617",12,"principle",9
"618",2,"power",5
"619",4,"entry",5
"620",4,"surplus",7
"621",1,"tured",5
"622",2,"varian",6
"623",1,"characterizes",13
"624",14,"perfect",7
"625",10,"discrimination",14
"626",2,"differently",11
"627",26,"still",5
"628",4,"capture",7
"629",2,"violation",9
"630",2,"princi",6
"631",1,"quan",4
"632",1,"tity",4
"633",8,"consume",7
"634",5,"known",5
"635",1,"packaging",9
"636",1,"tools",5
"637",25,"seller",6
"638",13,"linear",6
"639",2,"faces",5
"640",8,"single",6
"641",21,"buyer",5
"642",1,"numeraire",9
"643",15,"income",6
"644",3,"charge",6
"645",38,"conditions",10
"646",11,"interior",8
"647",5,"seller’s",8
"648",7,"including",9
"649",6,"participation",13
"650",21,"observe",7
"651",10,"bind",4
"652",1,"leibniz",7
"653",12,"rule",4
"654",4,"necessarily",11
"655",8,"quasiconcave",12
"656",1,"lution",6
"657",5,"prefers",7
"658",3,"furthermore",11
"659",4,"indirect",8
"660",1,"<U+2202>v<U+2202>p",4
"661",1,"<U+2202>v<U+2202>f",4
"662",2,"conjunction",11
"663",6,"envelope",8
"664",1,"<U+2202>vpf",4
"665",1,"express",7
"666",10,"normal",6
"667",41,"explain",7
"668",9,"monotonic",9
"669",20,"much",4
"670",59,"high",4
"671",21,"without",7
"672",4,"tween",5
"673",1,"keeps",5
"674",7,"satisfied",9
"675",4,"implicitly",10
"676",6,"derivatives",11
"677",49,"rewrite",7
"678",2,"incorporating",13
"679",11,"sets",4
"680",1,"-dp*",4
"681",7,"airline",7
"682",4,"deciding",8
"683",116,"type",4
"684",5,"tickets",7
"685",20,"sell",4
"686",34,"assumptions",11
"687",31,"ticket",6
"688",13,"combination",11
"689",3,"parameters",10
"690",143,"model",5
"691",6,"comment",7
"692",12,"distortion",10
"693",3,"airline’s",9
"694",23,"quality",7
"695",5,"business",8
"696",1,"traveler’s",10
"697",9,"traveler",8
"698",10,"incentive",9
"699",1,"reveal",6
"700",1,"tourist’s",9
"701",3,"hide",4
"702",33,"lower",5
"703",2,"willingness",11
"704",6,"uniform",7
"705",3,"pricing",7
"706",13,"unrestricted",12
"707",2,"profitmaximizing",16
"708",3,"sold",4
"709",7,"tourists",8
"710",1,"distorted",9
"711",3,"allow",5
"712",2,"selling",7
"713",3,"purchasing",10
"714",2,"stricted",8
"715",66,"mean",4
"716",1,"tourist",7
"717",2,"priced",6
"718",47,"however",7
"719",1,"valuation",9
"720",1,"debut",5
"721",1,"kind",4
"722",2,"aircraft",8
"723",2,"sections",8
"724",2,"coach",5
"725",1,"executive",9
"726",2,"index",5
"727",25,"types",5
"728",5,"potentially",11
"729",1,"attract",7
"730",5,"travelers",9
"731",3,"royalty",7
"732",1,"ascending",9
"733",4,"travel",6
"734",2,"singlecrossing",14
"735",34,"difference",10
"736",49,"condition",9
"737",4,"crossing",8
"738",4,"simply",6
"739",11,"rearrange",9
"740",1,"seconddegree",12
"741",1,"label",5
"742",7,"denotes",7
"743",4,"targeted",8
"744",1,"leave",5
"745",1,"unspecified",11
"746",17,"include",7
"747",20,"rationality",11
"748",4,"compatibility",13
"749",2,"plies",5
"750",1,"differ",6
"751",4,"depending",9
"752",6,"context",7
"753",119,"variables",9
"754",7,"longer",6
"755",13,"appear",6
"756",2,"explicitly",10
"757",5,"maxi",4
"758",4,"mization",8
"759",4,"k¯bt",4
"760",22,"weakly",6
"761",2,"logic",5
"762",4,"examining",9
"763",1,"vrkr",4
"764",2,"vrkb",4
"765",1,"trav",4
"766",1,"eler",4
"767",1,"chop",4
"768",8,"ones",4
"769",9,"slack",5
"770",1,"stepstep",8
"771",1,"eliminating",11
"772",16,"satisfy",7
"773",2,"specified",9
"774",1,"violating",9
"775",7,"contradicts",11
"776",1,"nally",5
"777",8,"degree",6
"778",1,"continuum",9
"779",7,"scheme",6
"780",16,"satisfies",9
"781",14,"<U+2202>uqz",4
"782",2,"nondecreasing",13
"783",1,"argued",6
"784",1,"satisfying",10
"785",1,"compati",7
"786",2,"bility",6
"787",3,"induces",7
"788",2,"type<U+03B8>",5
"789",16,"left",4
"790",11,"hand",4
"791",2,"expanding",9
"792",1,"<U+2202>uqzz",5
"793",6,"subtract",8
"794",6,"integral",8
"795",1,"combine",7
"796",3,"integrals",9
"797",1,"<U+03B8>-uq<U+03B8>",5
"798",1,"<U+03B8>-tl",4
"799",1,"-uq<U+03B8>",4
"800",1,"fundamental",11
"801",6,"theory",6
"802",1,"calculus",8
"803",2,"convert",7
"804",3,"<U+2202>uq<U+03B8>",4
"805",1,"combining",9
"806",2,"inside",6
"807",2,"dqdz",4
"808",2,"<U+2202>q<U+2202><U+03B8>",4
"809",1,"integrand",9
"810",2,"limits",6
"811",3,"thirddegree",11
"812",1,"transition",10
"813",40,"convex",6
"814",4,"curves",6
"815",10,"slope",5
"816",5,"downward",8
"817",4,"improvement",11
"818",8,"properties",10
"819",17,"defined",7
"820",2,"monopoly",8
"821",2,"quantities",10
"822",1,"-cxu",4
"823",2,"sloping",7
"824",4,"bounded",7
"825",2,"approximation",13
"826",51,"assumption",10
"827",5,"rewritten",9
"828",6,"putting",7
"829",8,"together",8
"830",2,"cournot",7
"831",1,"oligopoly",9
"832",3,"firm’s",6
"833",2,"denoted",7
"834",5,"producing",9
"835",8,"homogeneous",11
"836",33,"nash",4
"837",5,"socially",8
"838",8,"dividing",8
"839",25,"factor",6
"840",8,"maximized",9
"841",1,"elastic",7
"842",14,"curve",5
"843",3,"finite",6
"844",14,"approaches",10
"845",8,"infinity",8
"846",2,"proach",6
"847",1,"asserted",8
"848",1,"thought",7
"849",5,"modified",8
"850",9,"alternative",11
"851",1,"pxdx",4
"852",1,"differentiating",15
"853",8,"direction",9
"854",6,"integrate",9
"855",3,"range",5
"856",3,"integration",11
"857",5,"parts",5
"858",1,"handle",6
"859",34,"term",4
"860",5,"multiply",8
"861",1,"bertrand",8
"862",1,"duopoly",7
"863",9,"full",4
"864",32,"information",11
"865",9,"lowest",6
"866",2,"competing",9
"867",22,"symmetric",9
"868",40,"best",4
"869",32,"response",8
"870",53,"game",4
"871",11,"produce",7
"872",1,"produces",8
"873",4,"exit",4
"874",2,"earning",7
"875",1,"exiting",7
"876",6,"equivalently",12
"877",3,"anything",8
"878",4,"product",7
"879",12,"definition",10
"880",6,"stackelberg",11
"881",1,"opponent’s",10
"882",1,"ward",4
"883",3,"leader’s",8
"884",2,"graphically",11
"885",2,"depict",6
"886",16,"space",5
"887",6,"isoprofit",9
"888",2,"plotted",7
"889",1,"inversely",9
"890",31,"conditional",11
"891",3,"reaches",7
"892",30,"point",5
"893",3,"intersects",10
"894",7,"<U+2202>p<U+2202>y",4
"895",5,"critical",8
"896",9,"maximum",7
"897",3,"minimum",7
"898",1,"intersection",12
"899",18,"decrease",8
"900",2,"remain",6
"901",3,"tangent",7
"902",1,"tangency",8
"903",2,"provision",9
"904",42,"public",6
"905",3,"economic",8
"906",6,"continuous",10
"907",4,"private",7
"908",1,"contributes",11
